variationidtemp,Average Rate,Intial_Repayment,balance_outstanding,Repayment,fees,Total_Cost,Flex Points,Cost Score,Flex Score,Total Score
BankSA - 441893fe-242f-4d1f-90d6-e9968f92993a - 12 to 84,12.74,678.6059432,0,40716.35659,915,41631.35659,9,1.716523498,5,2.701566448
St.George Bank - 2bce4531-aa98-4a4b-a295-a0c00cfde871 - 12 to 84,12.74,678.6059432,0,40716.35659,915,41631.35659,9,1.716523498,5,2.701566448
Community First Credit Union - 0414d603-bf2b-4672-b5a0-931b813a9b9e - 0 to 84,13.49,690.1408363,0,41408.45018,195,41603.45018,9,1.727785366,5,2.709449756
Beyond Bank Australia - 2c47552d-bf29-4314-aa28-678e87ee31ab - 0 to 84,13.5,690.2953805,0,41417.72283,175,41592.72283,6,1.732114478,3.333333333,2.212480135
Beyond Bank Australia - f1b1adeb-621f-487a-9391-a459c586955a - 0 to 84,13.45,689.5228554,0,41371.37133,175,41546.37133,9,1.75082002,5,2.725574014
Bank of Queensland - 40dea09c-672b-4c09-b75b-62d65c10225a - 12 to 84,12.95,681.8245723,0,40909.47434,600,41509.47434,6,1.765710112,3.333333333,2.235997078
Bank First - 221ff0cc-46fa-44b4-af48-ed853c67b2c4 - 0 to 999,13.19,685.5136241,0,41130.81745,300,41430.81745,1,1.797452766,0.555555556,1.424883603
Teachers Mutual Bank - 1bc7eea5-83dc-4efc-bbc9-df98bb07585e - 0 to 72,13.19,685.5136241,0,41130.81745,100,41230.81745,9,1.878164458,5,2.814715121
UniBank - 3d054c83-1b11-4ce4-98ba-7b004513addf - 1 to 72,13.19,685.5136241,0,41130.81745,100,41230.81745,9,1.878164458,5,2.814715121
Bendigo & Adelaide Bank - 93c58244-4d60-4abd-a84e-978248e26a43 - 12 to 84,12.79,679.3714961,0,40762.28977,450,41212.28977,9,1.88564146,5,2.819949022
Transport Mutual Credit Union - dc5de83f-5ee4-4ef4-9fec-d0297c0ed216 - 12 to 84,13.25,686.4376545,0,41186.25927,0,41186.25927,9,1.896146286,5,2.8273024
Bank of Queensland - 926957ee-3f26-4735-8186-f3931d6a9763 - 0 to 999,13.04,683.2066404,0,40992.39842,150,41142.39842,1,1.913846702,0.555555556,1.506359358
Big Sky Building Society - ac91af80-1ddb-4712-9057-4fe28de1696d - 12 to 96,13.18,685.3596877,0,41121.58126,0,41121.58126,6,1.922247644,3.333333333,2.345573351
NAB - 782081d4-9de4-4f6c-b51b-58b7a1062a14 - 0 to 999,12.77,679.0652158,0,40743.91295,350,41093.91295,1,1.933413426,0.555555556,1.520056065
