variationidtemp,Average Rate,Intial_Repayment,balance_outstanding,Repayment,fees,Total_Cost
CarLoans.com.au - 186c4908-c26e-44b2-909c-e427a344a04e - 12 to 84,8.495000000000001,615.4236479721126,0,36925.41887832675,818.4000000000001,37743.818878326754
360 Finance - 09685f95-5327-4f5a-b538-b15473988240 - 12 to 84,17.395,751.963763787602,0,45117.82582725612,,
Bankstown City Unity Bank - 3343ca18-5888-4c4d-afd1-dd22d6dad8b9 - 12 to 84,14.82,710.866511566695,0,42651.990694001695,,
Summerland Credit Union - 02990e80-2b83-4ed4-b4bc-9d3140ccb2b8 - 0 to 84,8.99,622.6050674120427,0,37356.30404472256,475.0,37831.30404472256
Queensland Country Credit Union - b3a6907d-a65f-42d5-a2cd-8821c65ee4b8 - 12 to 84,5.99,579.8445599530695,0,34790.67359718417,420.0,35210.67359718417
The Mutual - ebed7289-b24f-42f2-ab15-ec282ceaa368 - 12 to 84,14.239999999999998,701.7858874434089,0,42107.15324660453,200.0,42307.15324660453
The Rock Building Society - e7d384e0-0754-43bb-8f52-0237592a0d20 - 12 to 120,6.99,593.8944258963024,0,35633.66555377815,0.0,35633.66555377815
Nexus Mutual - 10a15abe-56e1-4fba-b290-883056b7752d - 12 to 84,8.99,622.6050674120427,0,37356.30404472256,150.0,37506.30404472256
MOVE - People Driven Banking - 0d7b9f28-76cf-4d4d-bcd8-bec40fab0e72 - 0 to 84,8.97,622.3139492186676,0,37338.83695312006,150.0,37488.83695312006
Northern Beaches Credit Union - 189772a8-45e3-4420-a7aa-c0392d80aee6 - 12 to 120,7.109999999999999,595.5941356569595,0,35735.648139417564,195.0,35930.648139417564
People's Choice Credit Union - 7bcf1263-6bc2-4e36-b74e-3ee9d036d5d0 - 12 to 84,9.99,637.2637391368502,0,38235.82434821101,250.0,38485.82434821101
The Capricornian - d4102e8e-49ef-434e-8ea6-c0e5c80fa62f - 0 to 84,9.95,636.6735310303976,0,38200.41186182386,250.0,38450.41186182386
360 Finance - a18906f9-b008-4d0d-8a65-21e2e4e40c26 - 12 to 84,5.49,572.896404713345,0,34373.7842828007,759.0,35132.7842828007
ANZ - c9c5ce0f-50b7-413b-a278-afba694d554a - 12 to 84,15.99,729.3823233561293,0,43762.93940136776,750.0,44512.93940136776
ANZ - 5b893b89-455c-4d28-8856-af633d4ae35d - 0 to 999,12.7,677.993855360472,0,40679.63132162832,1100.0,41779.63132162832
Australian Military Bank - 1758705c-3faf-4552-a29b-9dfd63464c1f - 12 to 84,7.1850000000000005,596.6579451178548,0,35799.476707071284,750.0,36549.476707071284
Australian Military Bank - a5cf2623-fc25-4f25-91c5-33079487ce8c - 12 to 84,13.4,688.7508200921588,0,41325.04920552953,750.0,42075.04920552953
Auswide Bank - 92c507b6-d681-4283-af27-a858aefe0751 - 12 to 84,9.79,634.3159111548389,0,38058.95466929033,475.0,38533.95466929033
Auswide Bank - b9ae05a4-033a-4411-82f7-d814afe5c768 - 12 to 84,7.79,605.2812251899591,0,36316.87351139754,475.0,36791.87351139754
Auswide Bank - cd5f9844-effe-4092-99f9-24d234645334 - 12 to 84,11.79,664.1542025859321,0,39849.252155155926,475.0,40324.252155155926
Auswide Bank - ac219bb5-1572-46cf-a59f-8c7c45f703c7 - 12 to 84,10.79,649.1352252158248,0,38948.11351294949,475.0,39423.11351294949
Bank of us - f48827f8-a6e3-47a4-ae76-6cfa79f32b20 - 6 to 84,9.99,637.2637391368502,0,38235.82434821101,800.0,39035.82434821101
Bank of us - 74cc27cd-61f9-4976-bacf-e0531de40659 - 6 to 84,5.99,579.8445599530695,0,34790.67359718417,800.0,35590.67359718417
Bank Australia - 9051216e-ace9-4855-b4ae-c5b51d65029b - 0 to 999,12.39,673.2608705114619,0,40395.652230687716,120.0,40515.652230687716
Bank Australia - 9d7114c4-b517-4dea-8072-963c3ff0467b - 0 to 120,7.89,606.7137289728743,0,36402.823738372455,150.0,36552.823738372455
Bank of Melbourne - 70a2f725-56ef-4511-84be-24abbd174d72 - 12 to 84,12.74,678.6059431674857,0,40716.356590049145,915.0,41631.356590049145
Bank of Melbourne - 14a0074f-b898-4692-a344-a5b604cfa9ea - 12 to 84,16.49,737.3752861061666,0,44242.51716637,915.0,45157.51716637
Bank of Melbourne - f1fa28f7-acce-480e-83e2-99a14ea5fc55 - 0 to 999,17.0,745.5772730139232,0,44734.63638083539,870.0,45604.63638083539
BankSA - 441893fe-242f-4d1f-90d6-e9968f92993a - 12 to 84,12.74,678.6059431674857,0,40716.356590049145,915.0,41631.356590049145
BankSA - a36813bb-ffd1-4ac5-834d-e67c111c7a64 - 12 to 84,16.49,737.3752861061666,0,44242.51716637,915.0,45157.51716637
Bankstown City Unity Bank - e0780f31-ca80-4907-9a05-2c457031f113 - 12 to 84,7.99,608.1482635424387,0,36488.895812546325,,
Bankstown City Unity Bank - 06619aed-8023-4f72-81a8-4c16e596094a - 12 to 84,14.82,710.866511566695,0,42651.990694001695,,
BankVic - 41513992-652b-41a2-8d8d-0e48430072ac - 12 to 84,12.95,681.824572290852,0,40909.474337451116,90.0,40999.474337451116
BankVic - b0aa4fe1-3a74-4441-9bef-80212d93a5a5 - 12 to 84,12.95,681.824572290852,0,40909.474337451116,90.0,40999.474337451116
Bankwest - 6268f6b6-9b17-44fa-96cd-344caba8dd14 - 36 to 84,7.99,608.1482635424387,0,36488.895812546325,599.0,37087.895812546325
Bankwest - 32b5caae-5a62-4d6a-ac60-c9f6623447b6 - 12 to 84,14.49,705.6919376970284,0,42341.5162618217,849.0,43190.5162618217
Bendigo & Adelaide Bank - 21491a25-bca7-42ac-aaf0-edf4091ec45d - 12 to 84,6.79,591.068104452781,0,35464.08626716686,150.0,35614.08626716686
Bendigo & Adelaide Bank - ee7e2b05-83b0-4841-b2ad-637eba3008f9 - 12 to 84,11.79,664.1542025859321,0,39849.252155155926,150.0,39999.252155155926
Beyond Bank Australia - dc109f42-f5a5-4698-bca3-b273da5ad009 - 0 to 84,7.49,600.9959088989517,0,36059.7545339371,300.0,36359.7545339371
Beyond Bank Australia - 8f8a8a91-203e-4121-b238-196344468093 - 0 to 84,8.89,621.150284129563,0,37269.017047773785,0.0,37269.017047773785
Beyond Bank Australia - f1b1adeb-621f-487a-9391-a459c586955a - 0 to 84,13.45,689.5228554228029,0,41371.37132536817,175.0,41546.37132536817
Beyond Bank Australia - 879bb0fe-04cc-4e8a-b7ce-e01fc6d2dd7d - 0 to 84,13.0,682.5921913267243,0,40955.53147960346,0.0,40955.53147960346
Big Sky Building Society - ac91af80-1ddb-4712-9057-4fe28de1696d - 12 to 96,13.18,685.3596877246113,0,41121.58126347668,0.0,41121.58126347668
